student_id,studied_course,Background,interested,Hour_week,Study_Materials,Practical_Work,Alone_Study,Sleep_hours,Soc_Activ,stressed_anx,Exp_GPA,Curr_GPA
1003,Probability and Statistics,Languages,5,8,Notes:Internet Resources(Videos Articles),NA,Yes,3,Programming:Fishing:Modelling:Volunteering Work,No,2,2.5
1004,Latin,History,10,5,Books-Out Of Course:Internet Resources(Videos Articles):Books-Recommended,Prefer not to Say,Yes,1,Sports:Fishing:Modelling:Programming:Friend Circle in the University:Volunteering Work,No,1,4
1005,English,Languages,0,1,Lecture Slides,No,Yes,7,Modelling:Fishing,No,2,1
1006,Probability and Statistics,Languages,10,10+,Books-Out Of Course:Internet Resources(Videos Articles):Notes,No,No,2,Fishing:Friend Circle in the University:Sports:Programming:Volunteering Work,No,4,3
1007,Genetics,Languages,10,8,Notes:Lecture Slides:Internet Resources(Videos Articles),No,Yes,8,Volunteering Work,Yes,2,1
1008,Functional Programming,History,6,7,Books-Recommended,NA,No,8,Fishing:Modelling:Friend Circle in the University:Sports:Programming,Yes,2,4
1009,Latin,Biology,10,0,Books-Out Of Course:Lecture Slides:Internet Resources(Videos Articles):Notes,No,Yes,10+,Fishing:Modelling,Yes,2,2
1010,Latin,Biology,7,0,Notes:Books-Recommended,No,No,0,Programming:Volunteering Work,No,3,2.5
1011,Mandarin,Biology,9,2,Notes:Books-Recommended,Yes,No,2,Programming:Fishing:Sports,No,2,1
1012,Linear Algebra,History,0,9,Books-Out Of Course:Lecture Slides,Yes,Yes,7,Sports:Modelling,No,3,4
1013,Organic Chemistry,Mathematics,5,6,Books-Out Of Course:Internet Resources(Videos Articles):Books-Recommended,NA,No,5,Modelling,Yes,3,2.5
1014,Linear Algebra,History,8,9,Internet Resources(Videos Articles):Notes,No,Yes,0,Fishing:Sports,Yes,1,3.5
1015,Databases,History,10,10+,Books-Recommended,Yes,Yes,7,Modelling:Volunteering Work:Programming,No,4,3.5
1016,English,History,6,10+,Books-Recommended:Internet Resources(Videos Articles):Lecture Slides:Books-Out Of Course:Notes,NA,No,2,Modelling:Programming:Fishing:Friend Circle in the University:Sports,No,4,4
1017,Organic Chemistry,Biology,8,5,Lecture Slides:Notes:Internet Resources(Videos Articles):Books-Out Of Course,Yes,No,9,Sports:Volunteering Work:Friend Circle in the University:Fishing:Programming:Modelling,No,4,2
1018,Functional Programming,Languages,8,4,Books-Out Of Course:Lecture Slides:Books-Recommended,Yes,No,4,Fishing:Volunteering Work:Friend Circle in the University:Modelling:Sports:Programming,Yes,4,2.5
1019,Functional Programming,Chemistry,3,8,Notes:Books-Recommended:Internet Resources(Videos Articles),No,Yes,9,Sports:Friend Circle in the University:Fishing,No,2,1.5
1020,Probability and Statistics,Mathematics,6,6,Books-Out Of Course:Notes:Lecture Slides,Prefer not to Say,Yes,10+,Fishing:Sports:Programming:Modelling:Friend Circle in the University,No,2,1.5
1021,Mandarin,Chemistry,0,4,Books-Out Of Course:Internet Resources(Videos Articles):Books-Recommended:Notes,Prefer not to Say,No,8,Volunteering Work:Fishing:Friend Circle in the University:Sports:Modelling,No,2,3
1022,Latin,Computer Science,7,4,Lecture Slides:Books-Out Of Course:Notes:Internet Resources(Videos Articles):Books-Recommended,Prefer not to Say,Yes,6,Volunteering Work,Yes,3,2.5
1023,Functional Programming,Computer Science,5,1,Lecture Slides:Internet Resources(Videos Articles):Books-Recommended:Books-Out Of Course:Notes,NA,No,4,Sports,Yes,2,3.5
1024,Latin,History,5,4,Internet Resources(Videos Articles):Books-Recommended:Books-Out Of Course:Lecture Slides:Notes,No,No,6,Fishing:Friend Circle in the University:Sports:Programming:Modelling:Volunteering Work,Yes,4,1.5
1025,Linear Algebra,History,0,9,Books-Recommended:Books-Out Of Course:Internet Resources(Videos Articles),Prefer not to Say,Yes,5,Modelling:Sports,No,3,2
1026,Functional Programming,Chemistry,10,8,Notes:Lecture Slides,NA,No,5,Programming,Yes,2,4
1027,Databases,Computer Science,8,0,Lecture Slides:Books-Recommended,Prefer not to Say,Yes,7,Sports:Programming:Fishing,Yes,1,2.5
1028,Organic Chemistry,Languages,6,0,Lecture Slides:Internet Resources(Videos Articles):Books-Recommended,No,No,2,Fishing,No,3,1.5
1029,English,Mathematics,5,8,Internet Resources(Videos Articles):Lecture Slides:Books-Recommended:Books-Out Of Course,Yes,Yes,10+,Modelling:Volunteering Work:Sports:Friend Circle in the University:Programming,No,4,2.5
1030,Linear Algebra,History,8,6,Books-Out Of Course:Books-Recommended,Prefer not to Say,No,0,Programming,Yes,1,2
1031,Biochemistry,Chemistry,2,0,Books-Out Of Course:Internet Resources(Videos Articles):Notes:Lecture Slides,Yes,No,0,Programming:Volunteering Work:Friend Circle in the University:Fishing,No,4,1.5
1032,Mandarin,Languages,0,8,Lecture Slides:Books-Out Of Course:Internet Resources(Videos Articles),NA,Yes,3,Friend Circle in the University:Modelling:Fishing:Volunteering Work:Sports:Programming,No,1,1
1033,Latin,Chemistry,6,4,Books-Out Of Course:Internet Resources(Videos Articles):Notes,NA,No,10+,Volunteering Work:Friend Circle in the University:Sports:Modelling,No,3,3.5
1034,Mandarin,Chemistry,4,8,Notes:Books-Recommended,Yes,Yes,3,Volunteering Work:Modelling:Programming,No,4,3.5
1035,Genetics,Languages,10,6,Internet Resources(Videos Articles):Books-Recommended:Books-Out Of Course,Prefer not to Say,Yes,0,Modelling:Volunteering Work:Programming:Fishing,Yes,3,1
1036,English,Mathematics,4,8,Internet Resources(Videos Articles),No,No,2,Volunteering Work:Modelling:Programming,Yes,4,2
1037,Probability and Statistics,Computer Science,4,8,Lecture Slides:Books-Out Of Course,Prefer not to Say,No,2,Friend Circle in the University:Programming:Volunteering Work:Fishing:Modelling,Yes,3,3
1038,Functional Programming,Chemistry,10,10+,Books-Out Of Course:Notes:Lecture Slides:Books-Recommended,Prefer not to Say,No,0,Fishing:Friend Circle in the University:Modelling:Volunteering Work:Sports:Programming,Yes,3,2
1039,Probability and Statistics,Chemistry,5,4,Books-Recommended,NA,No,10+,Friend Circle in the University:Volunteering Work:Sports,No,1,3
1040,English,Chemistry,5,8,Lecture Slides:Notes:Books-Out Of Course:Internet Resources(Videos Articles):Books-Recommended,NA,No,7,Volunteering Work:Programming:Sports:Modelling:Friend Circle in the University:Fishing,Yes,1,1.5
1041,Mandarin,Languages,9,2,Books-Recommended:Notes,Yes,Yes,2,Modelling:Sports:Friend Circle in the University:Fishing:Programming:Volunteering Work,No,2,2
1042,Genetics,Chemistry,5,6,Books-Recommended:Notes:Internet Resources(Videos Articles),Prefer not to Say,No,1,Programming:Modelling:Friend Circle in the University,No,3,3
1043,Latin,Biology,7,5,Lecture Slides:Internet Resources(Videos Articles):Books-Recommended:Books-Out Of Course,Prefer not to Say,No,1,Programming:Friend Circle in the University:Modelling,No,4,2.5
1044,Functional Programming,Computer Science,7,8,Notes:Books-Out Of Course,No,Yes,3,Volunteering Work,Yes,4,2.5
1045,English,Mathematics,10,2,Lecture Slides:Internet Resources(Videos Articles):Books-Recommended:Books-Out Of Course,No,Yes,4,Sports:Volunteering Work:Fishing:Modelling,Yes,2,3.5
1046,Organic Chemistry,History,8,0,Notes,Prefer not to Say,Yes,9,Sports:Volunteering Work:Modelling,No,1,3
1047,Probability and Statistics,Chemistry,3,8,Books-Out Of Course:Internet Resources(Videos Articles):Lecture Slides,Yes,No,6,Programming:Modelling:Friend Circle in the University:Sports:Fishing:Volunteering Work,Yes,4,2.5
1048,Probability and Statistics,History,10,5,Lecture Slides,NA,Yes,6,Fishing:Sports:Programming:Friend Circle in the University:Modelling,No,4,1
1049,Mandarin,History,9,0,Books-Recommended:Lecture Slides,Yes,No,7,Volunteering Work:Sports:Modelling:Fishing:Programming:Friend Circle in the University,No,3,1.5
1050,Organic Chemistry,History,6,0,Books-Out Of Course,Yes,Yes,1,Sports:Volunteering Work:Friend Circle in the University:Programming:Fishing,Yes,1,3.5
1051,Biochemistry,Chemistry,10,6,Notes:Internet Resources(Videos Articles):Books-Recommended:Lecture Slides:Books-Out Of Course,Prefer not to Say,Yes,9,Volunteering Work:Fishing:Programming:Modelling:Friend Circle in the University,No,3,2
1052,Organic Chemistry,Languages,0,6,Notes,NA,Yes,3,Volunteering Work,No,4,2
1053,Databases,Computer Science,8,10+,Lecture Slides:Notes:Books-Out Of Course,Yes,No,10+,Fishing:Modelling:Sports:Volunteering Work:Programming:Friend Circle in the University,Yes,1,4
1054,Databases,Chemistry,10,2,Books-Recommended:Books-Out Of Course:Notes:Lecture Slides:Internet Resources(Videos Articles),No,Yes,6,Volunteering Work,No,1,3
1055,Functional Programming,History,5,0,Notes:Books-Out Of Course,NA,Yes,2,Programming:Fishing,Yes,1,4
1056,Linear Algebra,Mathematics,2,2,Books-Recommended:Notes:Lecture Slides,Prefer not to Say,Yes,0,Programming:Sports:Modelling:Volunteering Work:Fishing,Yes,1,1
1057,English,Chemistry,3,3,Books-Out Of Course:Books-Recommended:Internet Resources(Videos Articles):Notes,Prefer not to Say,Yes,7,Modelling:Volunteering Work:Programming:Fishing:Sports,Yes,1,1
1058,Biochemistry,Computer Science,6,9,Books-Out Of Course:Internet Resources(Videos Articles),Prefer not to Say,Yes,8,Friend Circle in the University:Fishing:Sports:Volunteering Work,No,3,1.5
1059,Databases,Biology,8,4,Books-Out Of Course:Books-Recommended:Internet Resources(Videos Articles),Yes,Yes,8,Fishing:Friend Circle in the University:Programming,No,1,3.5
1060,Mandarin,Mathematics,4,5,Books-Recommended:Lecture Slides:Notes,No,No,2,Friend Circle in the University,Yes,1,1.5
1061,Linear Algebra,Languages,8,9,Books-Out Of Course:Notes:Internet Resources(Videos Articles):Lecture Slides,Yes,Yes,9,Friend Circle in the University:Sports:Programming:Volunteering Work,Yes,4,2.5
1062,Probability and Statistics,Computer Science,0,7,Notes:Lecture Slides:Internet Resources(Videos Articles):Books-Recommended,Yes,No,8,Programming:Modelling:Volunteering Work:Friend Circle in the University:Sports,No,1,1.5
1063,Organic Chemistry,Computer Science,10,5,Books-Recommended:Notes:Books-Out Of Course:Internet Resources(Videos Articles):Lecture Slides,Yes,Yes,6,Modelling:Volunteering Work,Yes,3,4
1064,Latin,Computer Science,1,5,Internet Resources(Videos Articles):Books-Recommended:Notes,No,Yes,4,Modelling:Friend Circle in the University:Programming,No,2,4
1065,Mandarin,Computer Science,3,2,Notes,NA,Yes,9,Modelling:Friend Circle in the University,No,2,3
1066,English,Chemistry,6,2,Books-Recommended:Notes:Lecture Slides:Books-Out Of Course,NA,Yes,4,Sports:Modelling:Fishing,No,2,3
1067,Databases,History,2,2,Books-Recommended:Notes:Books-Out Of Course:Lecture Slides:Internet Resources(Videos Articles),NA,Yes,2,Programming:Friend Circle in the University:Modelling,Yes,2,2.5
1068,Linear Algebra,Chemistry,4,3,Internet Resources(Videos Articles):Books-Out Of Course:Books-Recommended:Notes:Lecture Slides,Yes,Yes,2,Fishing,No,4,3.5
1069,Probability and Statistics,Languages,4,10+,Internet Resources(Videos Articles),No,Yes,4,Modelling:Sports:Programming:Fishing,No,2,3.5
1070,Databases,Chemistry,5,3,Books-Out Of Course:Internet Resources(Videos Articles):Lecture Slides,NA,Yes,3,Fishing:Programming:Friend Circle in the University,No,4,2
1071,Linear Algebra,Languages,1,3,Books-Recommended:Internet Resources(Videos Articles):Books-Out Of Course:Lecture Slides:Notes,No,No,1,Programming,No,4,2
1072,Functional Programming,Biology,8,2,Books-Recommended:Books-Out Of Course,Yes,No,0,Modelling,Yes,2,3.5
1073,Organic Chemistry,Languages,10,2,Books-Out Of Course:Notes:Lecture Slides,NA,Yes,2,Fishing:Volunteering Work:Friend Circle in the University:Modelling,No,3,3
1074,Biochemistry,Computer Science,6,10+,Books-Out Of Course:Lecture Slides,NA,No,3,Sports:Fishing:Programming:Friend Circle in the University:Modelling:Volunteering Work,Yes,1,1.5
1075,Functional Programming,Computer Science,5,9,Books-Out Of Course:Lecture Slides:Internet Resources(Videos Articles):Books-Recommended:Notes,No,Yes,9,Friend Circle in the University:Sports:Modelling,No,2,2.5
1076,Mandarin,Computer Science,6,0,Lecture Slides:Internet Resources(Videos Articles):Notes,Yes,Yes,1,Sports,No,3,3.5
1077,Genetics,History,8,9,Notes:Books-Out Of Course:Internet Resources(Videos Articles):Books-Recommended:Lecture Slides,Prefer not to Say,No,7,Fishing:Sports:Volunteering Work,Yes,2,3
1078,Genetics,Biology,6,7,Books-Out Of Course:Books-Recommended:Notes:Internet Resources(Videos Articles):Lecture Slides,NA,Yes,8,Fishing:Modelling:Friend Circle in the University:Sports:Programming,Yes,4,2
1079,Genetics,Biology,1,4,Lecture Slides:Internet Resources(Videos Articles):Books-Out Of Course:Books-Recommended,Prefer not to Say,Yes,8,Sports:Fishing,No,1,3.5
1080,Latin,Chemistry,8,4,Books-Out Of Course:Internet Resources(Videos Articles),No,Yes,9,Modelling:Programming:Volunteering Work:Fishing:Sports:Friend Circle in the University,No,4,1
1081,Latin,Computer Science,9,3,Notes:Books-Recommended,No,Yes,8,Volunteering Work:Programming:Fishing:Friend Circle in the University,No,2,2
1082,Functional Programming,History,6,8,Notes:Books-Out Of Course,Yes,No,0,Programming,Yes,2,3
1083,Biochemistry,Chemistry,3,7,Internet Resources(Videos Articles):Books-Out Of Course,NA,No,8,Modelling:Fishing:Programming:Friend Circle in the University:Sports:Volunteering Work,Yes,2,2
1084,Mandarin,Languages,10,6,Notes:Internet Resources(Videos Articles):Lecture Slides,NA,No,4,Sports:Programming,No,1,1.5
1085,Functional Programming,Chemistry,9,3,Notes:Books-Recommended:Lecture Slides:Books-Out Of Course,Yes,No,2,Programming:Modelling,Yes,4,2
1086,Latin,History,5,1,Internet Resources(Videos Articles),No,Yes,6,Volunteering Work:Sports,Yes,2,3
1087,Databases,Biology,0,8,Internet Resources(Videos Articles):Books-Recommended:Notes:Lecture Slides,No,Yes,1,Sports:Friend Circle in the University:Fishing:Modelling:Volunteering Work:Programming,No,1,2
1088,Mandarin,Languages,1,8,Internet Resources(Videos Articles):Notes:Books-Recommended:Books-Out Of Course,No,Yes,0,Programming:Volunteering Work:Friend Circle in the University:Fishing,No,2,1
1089,Genetics,History,4,3,Internet Resources(Videos Articles):Books-Out Of Course:Books-Recommended,Prefer not to Say,Yes,7,Friend Circle in the University:Modelling:Volunteering Work:Programming:Fishing,Yes,1,3.5
1090,Genetics,Languages,6,1,Books-Out Of Course,No,No,5,Friend Circle in the University:Volunteering Work,No,2,1
1091,Functional Programming,Computer Science,4,0,Books-Out Of Course:Lecture Slides:Internet Resources(Videos Articles):Notes,Yes,Yes,0,Sports:Friend Circle in the University,No,3,3.5
1092,Linear Algebra,Biology,7,8,Lecture Slides:Books-Recommended:Books-Out Of Course:Notes,NA,No,8,Volunteering Work:Programming,No,2,4
1093,Linear Algebra,Computer Science,10,6,Notes:Lecture Slides:Internet Resources(Videos Articles):Books-Recommended,NA,No,7,Sports:Friend Circle in the University:Fishing,No,3,2.5
1094,Functional Programming,Biology,4,10+,Notes:Books-Recommended,Prefer not to Say,No,8,Friend Circle in the University:Sports,No,3,3.5
1095,English,Computer Science,8,9,Books-Recommended:Books-Out Of Course:Notes:Internet Resources(Videos Articles),NA,No,7,Fishing,Yes,2,3
1096,Linear Algebra,Languages,1,10+,Books-Recommended:Lecture Slides:Internet Resources(Videos Articles):Books-Out Of Course,No,Yes,10+,Friend Circle in the University:Volunteering Work:Fishing:Sports:Programming:Modelling,No,2,2
1097,Biochemistry,Languages,3,2,Books-Out Of Course:Books-Recommended:Notes,No,Yes,1,Modelling,Yes,3,3
1098,English,Languages,6,10+,Internet Resources(Videos Articles):Books-Out Of Course:Lecture Slides:Books-Recommended,Yes,Yes,6,Sports,Yes,2,3.5
1099,English,Mathematics,1,6,Lecture Slides,NA,No,3,Fishing:Friend Circle in the University:Sports:Programming:Modelling:Volunteering Work,Yes,4,1.5
1100,Databases,Biology,6,9,Books-Out Of Course:Lecture Slides:Internet Resources(Videos Articles):Notes:Books-Recommended,NA,No,7,Volunteering Work:Modelling:Fishing:Sports:Friend Circle in the University,No,3,3.5
1101,Databases,History,2,9,Books-Out Of Course:Internet Resources(Videos Articles):Lecture Slides,NA,Yes,10+,Volunteering Work,No,4,1
1102,Linear Algebra,Languages,8,4,Internet Resources(Videos Articles):Books-Out Of Course:Lecture Slides:Notes:Books-Recommended,Yes,No,2,Fishing:Volunteering Work:Modelling:Programming:Sports,Yes,3,3
1103,Mandarin,Biology,6,4,Notes,No,Yes,2,Programming:Volunteering Work,Yes,3,3.5
1104,Mandarin,Chemistry,1,3,Books-Out Of Course:Notes:Books-Recommended:Lecture Slides,Prefer not to Say,No,4,Modelling:Fishing,No,4,2.5
1105,Functional Programming,Computer Science,8,4,Notes:Lecture Slides:Books-Recommended:Books-Out Of Course,Prefer not to Say,Yes,2,Modelling,No,2,1.5
1106,Functional Programming,History,8,5,Lecture Slides,NA,Yes,0,Fishing:Sports:Modelling,Yes,3,4
1107,Latin,Chemistry,3,9,Books-Out Of Course,No,Yes,8,Fishing:Programming:Modelling,Yes,3,3
1108,Probability and Statistics,Languages,8,1,Books-Recommended,NA,No,7,Fishing:Programming:Modelling,No,1,3.5
1109,Databases,Biology,10,2,Notes,Yes,Yes,9,Sports:Volunteering Work:Programming:Modelling:Fishing,Yes,3,4
1110,Probability and Statistics,Computer Science,3,4,Notes:Books-Out Of Course:Books-Recommended:Internet Resources(Videos Articles):Lecture Slides,No,No,10+,Modelling:Programming:Friend Circle in the University,No,2,1
1111,Organic Chemistry,Chemistry,3,0,Books-Out Of Course:Notes:Internet Resources(Videos Articles):Books-Recommended,NA,No,4,Sports:Programming:Modelling:Friend Circle in the University:Fishing,No,4,3
1112,English,Biology,1,8,Books-Out Of Course:Internet Resources(Videos Articles):Books-Recommended,Yes,No,4,Fishing:Modelling,Yes,3,3
1113,Databases,History,3,0,Notes:Lecture Slides:Internet Resources(Videos Articles):Books-Out Of Course,Yes,Yes,9,Modelling:Volunteering Work,No,2,3.5
1114,Probability and Statistics,Computer Science,5,5,Lecture Slides:Notes:Internet Resources(Videos Articles):Books-Recommended,Yes,Yes,3,Friend Circle in the University:Sports:Programming,Yes,2,2.5
1115,Genetics,Mathematics,5,0,Notes:Books-Recommended,NA,No,9,Sports:Modelling,No,1,1.5
1116,Databases,Chemistry,10,7,Internet Resources(Videos Articles):Books-Out Of Course,No,No,10+,Sports:Fishing:Volunteering Work:Programming:Friend Circle in the University,Yes,3,3
1117,Genetics,Languages,0,4,Books-Recommended,Prefer not to Say,Yes,5,Programming:Friend Circle in the University:Volunteering Work,No,1,1.5
1118,Latin,Chemistry,3,8,Books-Recommended,Yes,No,5,Sports:Friend Circle in the University,Yes,2,1.5
1119,Latin,Languages,2,8,Lecture Slides,No,No,2,Modelling:Volunteering Work:Friend Circle in the University:Programming,Yes,1,2
1120,Biochemistry,Computer Science,8,6,Books-Out Of Course:Lecture Slides:Internet Resources(Videos Articles),NA,No,7,Programming:Modelling:Friend Circle in the University:Fishing,Yes,4,3.5
1121,English,Computer Science,2,8,Lecture Slides:Books-Out Of Course:Notes:Internet Resources(Videos Articles):Books-Recommended,No,Yes,3,Sports:Modelling:Programming:Fishing,No,3,4
1122,English,Languages,6,4,Books-Recommended:Lecture Slides,Prefer not to Say,Yes,7,Programming,No,1,1.5
1123,Mandarin,History,3,6,Books-Recommended:Lecture Slides,Prefer not to Say,No,1,Programming:Volunteering Work:Friend Circle in the University:Sports:Modelling:Fishing,No,4,1.5
1124,Genetics,Biology,8,9,Internet Resources(Videos Articles),NA,No,10+,Volunteering Work:Fishing:Friend Circle in the University:Modelling,No,1,1
1125,Biochemistry,Computer Science,6,0,Lecture Slides:Internet Resources(Videos Articles),Yes,No,6,Modelling:Friend Circle in the University:Programming:Fishing:Volunteering Work:Sports,Yes,2,3.5
1126,Probability and Statistics,Mathematics,10,8,Books-Out Of Course,No,Yes,8,Modelling:Fishing:Friend Circle in the University:Volunteering Work,No,4,4
1127,Genetics,Biology,9,0,Books-Out Of Course:Books-Recommended:Notes:Internet Resources(Videos Articles),No,Yes,2,Fishing:Modelling:Friend Circle in the University:Sports:Volunteering Work,No,2,2
1128,Probability and Statistics,Biology,9,7,Lecture Slides:Notes:Books-Recommended,NA,No,6,Programming:Friend Circle in the University:Fishing:Modelling,Yes,3,4
1129,Mandarin,Chemistry,4,4,Books-Recommended:Notes:Internet Resources(Videos Articles):Lecture Slides:Books-Out Of Course,Prefer not to Say,Yes,7,Programming:Fishing:Volunteering Work,Yes,4,1.5
1130,Databases,Biology,0,9,Internet Resources(Videos Articles):Notes,No,Yes,1,Fishing:Volunteering Work:Modelling,No,1,1.5
1131,Mandarin,Computer Science,6,0,Lecture Slides:Books-Recommended:Books-Out Of Course,Yes,Yes,6,Volunteering Work:Modelling:Fishing,No,1,1
1132,English,Languages,8,4,Notes:Internet Resources(Videos Articles),NA,Yes,5,Programming:Fishing,No,1,4
1133,Databases,Mathematics,0,9,Books-Out Of Course:Notes:Internet Resources(Videos Articles),Yes,Yes,5,Volunteering Work:Fishing,Yes,3,1.5
1134,Mandarin,Mathematics,6,4,Lecture Slides,Yes,Yes,0,Friend Circle in the University:Programming:Volunteering Work:Modelling,No,2,3.5
1135,Probability and Statistics,Mathematics,2,1,Lecture Slides:Books-Out Of Course:Books-Recommended:Internet Resources(Videos Articles):Notes,NA,No,6,Modelling:Sports:Fishing:Friend Circle in the University,Yes,3,2.5
1136,English,Languages,10,7,Books-Recommended,Yes,No,2,Volunteering Work:Fishing:Friend Circle in the University:Modelling:Programming,No,3,3
1137,English,History,2,5,Books-Recommended:Books-Out Of Course,Yes,No,5,Sports:Modelling:Friend Circle in the University,No,1,4
1138,Organic Chemistry,Mathematics,2,10+,Notes:Lecture Slides:Books-Recommended:Books-Out Of Course,Yes,No,3,Modelling:Friend Circle in the University:Sports:Programming:Volunteering Work:Fishing,Yes,2,3
1139,Biochemistry,History,3,3,Internet Resources(Videos Articles):Lecture Slides,Yes,No,6,Fishing:Modelling:Friend Circle in the University,No,3,2
1140,Probability and Statistics,Chemistry,9,3,Books-Recommended:Internet Resources(Videos Articles):Notes,No,No,0,Fishing:Programming:Friend Circle in the University,No,4,4
1141,Latin,History,7,3,Notes,No,Yes,2,Fishing:Friend Circle in the University:Sports:Volunteering Work:Modelling:Programming,No,3,3.5
1142,Organic Chemistry,Computer Science,0,8,Books-Out Of Course:Internet Resources(Videos Articles),No,No,5,Sports,No,1,1.5
1143,English,Mathematics,5,3,Books-Recommended:Notes,Yes,No,8,Volunteering Work,Yes,2,4
1144,Functional Programming,History,1,7,Internet Resources(Videos Articles):Books-Out Of Course:Notes:Lecture Slides:Books-Recommended,Prefer not to Say,No,8,Programming:Fishing:Volunteering Work:Modelling:Friend Circle in the University,Yes,3,1.5
1145,Latin,Languages,8,7,Books-Recommended:Lecture Slides:Internet Resources(Videos Articles):Notes,NA,No,4,Volunteering Work:Friend Circle in the University:Programming:Sports,Yes,1,2.5
1146,Latin,Biology,3,0,Books-Out Of Course:Internet Resources(Videos Articles):Lecture Slides:Notes,Yes,Yes,9,Friend Circle in the University,Yes,1,3.5
1147,Organic Chemistry,History,1,2,Lecture Slides:Internet Resources(Videos Articles):Notes:Books-Out Of Course:Books-Recommended,No,No,6,Programming:Volunteering Work,No,1,1
1148,English,History,9,1,Books-Out Of Course:Lecture Slides:Internet Resources(Videos Articles):Notes,No,Yes,10+,Programming,No,3,2
1149,Probability and Statistics,Languages,5,2,Books-Out Of Course:Internet Resources(Videos Articles):Lecture Slides,Yes,No,3,Friend Circle in the University:Sports,Yes,2,1.5
1150,Latin,Chemistry,3,3,Books-Out Of Course:Lecture Slides,Prefer not to Say,No,9,Programming:Fishing:Volunteering Work:Friend Circle in the University,Yes,2,3.5
1151,Latin,Mathematics,7,3,Books-Recommended,NA,No,6,Modelling:Sports:Volunteering Work:Fishing:Programming,No,2,3.5
1152,Biochemistry,Languages,9,4,Books-Recommended:Lecture Slides,No,No,7,Modelling:Fishing:Volunteering Work:Friend Circle in the University:Programming,No,4,4
1153,Biochemistry,Computer Science,3,5,Lecture Slides:Books-Recommended,NA,No,5,Sports,No,3,2
1154,Functional Programming,History,6,0,Internet Resources(Videos Articles):Lecture Slides:Books-Out Of Course,Prefer not to Say,Yes,3,Sports:Fishing:Friend Circle in the University,Yes,4,3
1155,Databases,History,0,6,Lecture Slides,Prefer not to Say,No,4,Friend Circle in the University:Modelling:Programming,No,2,1.5
1156,Probability and Statistics,Languages,8,8,Internet Resources(Videos Articles):Books-Out Of Course:Books-Recommended:Notes:Lecture Slides,Yes,Yes,3,Modelling:Volunteering Work,No,2,1.5
1157,English,Languages,4,0,Books-Out Of Course:Notes,No,No,3,Friend Circle in the University:Volunteering Work:Sports:Programming:Modelling,Yes,4,4
1158,Mandarin,Biology,10,2,Lecture Slides:Notes:Books-Recommended:Internet Resources(Videos Articles):Books-Out Of Course,NA,No,10+,Programming:Modelling,Yes,1,2
1159,Databases,Languages,9,6,Books-Out Of Course:Lecture Slides:Notes,Prefer not to Say,No,3,Fishing:Friend Circle in the University,Yes,3,4
1160,Organic Chemistry,Chemistry,5,0,Lecture Slides:Books-Out Of Course:Books-Recommended:Notes:Internet Resources(Videos Articles),Yes,Yes,1,Volunteering Work:Modelling:Sports,Yes,3,1.5
1161,English,Chemistry,2,2,Books-Out Of Course:Notes:Internet Resources(Videos Articles):Lecture Slides,No,No,10+,Fishing:Programming,No,1,2.5
1162,Probability and Statistics,Biology,5,10+,Internet Resources(Videos Articles),Yes,Yes,2,Programming,No,1,2.5
1163,English,Languages,10,0,Internet Resources(Videos Articles):Notes:Books-Recommended,Prefer not to Say,Yes,3,Friend Circle in the University:Modelling:Fishing:Programming:Volunteering Work:Sports,Yes,3,3
1164,Probability and Statistics,Chemistry,2,3,Internet Resources(Videos Articles):Notes:Books-Recommended:Books-Out Of Course:Lecture Slides,Yes,Yes,3,Friend Circle in the University:Programming:Volunteering Work,Yes,3,3.5
1165,Functional Programming,Biology,9,2,Internet Resources(Videos Articles):Notes:Books-Out Of Course:Lecture Slides:Books-Recommended,NA,No,5,Programming:Fishing:Volunteering Work,Yes,3,1.5
1166,Genetics,History,7,4,Notes,NA,Yes,0,Friend Circle in the University:Fishing:Modelling:Volunteering Work:Sports:Programming,Yes,4,1.5
1167,Latin,History,1,7,Books-Recommended:Notes:Internet Resources(Videos Articles):Lecture Slides:Books-Out Of Course,Yes,No,4,Programming,Yes,1,1.5
1168,Probability and Statistics,Chemistry,10,7,Notes:Books-Recommended:Lecture Slides:Internet Resources(Videos Articles):Books-Out Of Course,Prefer not to Say,No,9,Sports:Programming:Volunteering Work:Fishing,Yes,4,4
1169,Genetics,Languages,4,1,Books-Recommended:Notes:Books-Out Of Course:Lecture Slides:Internet Resources(Videos Articles),NA,No,8,Modelling,Yes,3,2.5
1170,Mandarin,Mathematics,2,5,Notes:Internet Resources(Videos Articles):Books-Recommended:Lecture Slides:Books-Out Of Course,NA,Yes,7,Modelling,No,4,3
1171,Organic Chemistry,Mathematics,9,8,Books-Out Of Course:Notes:Books-Recommended,NA,No,7,Friend Circle in the University:Modelling,No,2,1
1172,Organic Chemistry,History,7,6,Notes,Prefer not to Say,No,1,Volunteering Work,Yes,1,1.5
1173,Latin,Chemistry,10,7,Notes:Books-Recommended,NA,Yes,4,Programming:Friend Circle in the University:Modelling:Volunteering Work,No,4,3
1174,Probability and Statistics,Biology,7,1,Lecture Slides:Internet Resources(Videos Articles):Notes:Books-Out Of Course,No,Yes,5,Volunteering Work,Yes,2,3
1175,Functional Programming,Computer Science,7,7,Books-Out Of Course:Books-Recommended:Notes:Lecture Slides,Yes,No,6,Volunteering Work,No,2,1
