studied_course,Background,interested,Hours_Study,Study_Materials,Practical_Work,Alone_Study,Hours_Sleep,Soc_Activ,stressed_anx,Exp_GPA,Calc_GPA
Mandarin,Computer Science,1,8,Internet Resources(Videos Articles),Prefer not to Say,No,4,Modelling,Yes,1,2
Genetics,Biology,5,0,Lecture Slides,,Yes,10+,Sports:Programming,No,1,1
Mandarin,Languages,5,2,Notes:Internet Resources(Videos Articles):Books-Recommended:Lecture Slides:Books-Out Of Course,Prefer not to Say,No,8,Sports:Modelling:Volunteering Work,Yes,3,3
Biochemistry,Biology,6,8,Books-Out Of Course:Books-Recommended,No,No,10+,Modelling:Programming:Friend Circle in the University,Yes,1,3
Linear Algebra,History,7,6,Books-Recommended:Internet Resources(Videos Articles):Notes,Yes,No,3,Modelling,No,4,2.5
Functional Programming,Chemistry,7,3,Books-Out Of Course:Books-Recommended:Lecture Slides:Internet Resources(Videos Articles),Prefer not to Say,No,1,Fishing:Volunteering Work:Friend Circle in the University:Sports:Programming,Yes,3,2.5
Mandarin,Biology,6,6,Notes,,No,3,Programming:Fishing:Volunteering Work:Sports,Yes,2,2
Latin,History,2,6,Internet Resources(Videos Articles):Books-Out Of Course:Books-Recommended:Lecture Slides:Notes,Yes,Yes,0,Programming,No,1,2
Linear Algebra,Chemistry,9,9,Books-Recommended:Internet Resources(Videos Articles),No,Yes,0,Programming:Friend Circle in the University,No,3,1
Databases,Biology,1,3,Notes:Internet Resources(Videos Articles):Lecture Slides:Books-Recommended:Books-Out Of Course,,No,10+,Volunteering Work:Sports:Programming:Modelling,No,4,1.5
Genetics,Chemistry,4,2,Internet Resources(Videos Articles):Books-Recommended:Lecture Slides,Yes,Yes,9,Programming:Friend Circle in the University:Modelling,Yes,4,3.5
Latin,Mathematics,8,8,Internet Resources(Videos Articles):Notes:Books-Recommended,Prefer not to Say,No,1,Volunteering Work:Programming:Sports:Modelling,No,2,3
Latin,Chemistry,6,7,Books-Out Of Course:Books-Recommended:Lecture Slides:Notes:Internet Resources(Videos Articles),,No,5,Fishing:Friend Circle in the University,No,1,3.5
Mandarin,History,2,10+,Books-Recommended:Notes:Books-Out Of Course:Lecture Slides:Internet Resources(Videos Articles),No,No,0,Sports:Programming:Friend Circle in the University:Volunteering Work:Modelling,No,1,3.5
English,History,7,8,Notes,Yes,No,2,Modelling:Volunteering Work:Programming:Fishing:Friend Circle in the University,Yes,1,2.5
Organic Chemistry,Computer Science,7,8,Books-Out Of Course:Notes:Internet Resources(Videos Articles):Lecture Slides:Books-Recommended,No,Yes,10+,Modelling:Friend Circle in the University,No,2,4
Organic Chemistry,History,3,9,Books-Recommended:Internet Resources(Videos Articles):Lecture Slides:Books-Out Of Course:Notes,,No,8,Fishing:Modelling:Volunteering Work:Friend Circle in the University:Sports,No,4,2
Databases,Chemistry,1,2,Notes,Prefer not to Say,Yes,2,Sports:Fishing:Friend Circle in the University,Yes,1,2
Genetics,History,8,5,Internet Resources(Videos Articles):Notes:Books-Out Of Course:Lecture Slides:Books-Recommended,No,Yes,1,Volunteering Work,Yes,1,1
Biochemistry,Chemistry,2,3,Lecture Slides:Books-Out Of Course:Internet Resources(Videos Articles):Books-Recommended:Notes,Yes,Yes,4,Fishing:Programming:Sports:Volunteering Work:Friend Circle in the University,No,2,2.5
Organic Chemistry,Languages,8,0,Internet Resources(Videos Articles):Books-Out Of Course:Lecture Slides,Prefer not to Say,Yes,1,Sports,No,1,4
Mandarin,History,8,8,Notes:Books-Out Of Course:Lecture Slides:Books-Recommended:Internet Resources(Videos Articles),No,No,10+,Friend Circle in the University:Programming:Modelling,Yes,1,2.5
Biochemistry,Biology,7,1,Notes:Internet Resources(Videos Articles),Prefer not to Say,Yes,4,Fishing:Friend Circle in the University:Programming,No,2,3
Linear Algebra,Languages,1,8,Internet Resources(Videos Articles),Prefer not to Say,Yes,4,Volunteering Work:Programming:Friend Circle in the University,Yes,1,2
Latin,Mathematics,1,5,Books-Out Of Course:Lecture Slides,,No,7,Programming:Modelling,No,4,2.5
Probability and Statistics,Mathematics,4,7,Notes:Internet Resources(Videos Articles):Lecture Slides,Prefer not to Say,Yes,10+,Programming:Fishing:Friend Circle in the University:Volunteering Work:Modelling,Yes,4,1
Organic Chemistry,Mathematics,2,2,Notes,Prefer not to Say,Yes,1,Fishing:Modelling:Volunteering Work,No,1,4
Databases,Biology,0,3,Books-Out Of Course:Books-Recommended,,Yes,6,Volunteering Work:Fishing,No,2,4
Probability and Statistics,Biology,0,0,Lecture Slides:Internet Resources(Videos Articles),No,No,7,Volunteering Work,No,2,3
Linear Algebra,History,0,6,Notes:Books-Recommended:Internet Resources(Videos Articles):Lecture Slides:Books-Out Of Course,Prefer not to Say,Yes,0,Sports,Yes,1,1.5
Latin,Languages,7,10+,Books-Out Of Course,,Yes,6,Fishing:Modelling:Sports:Programming,Yes,2,2
Linear Algebra,Biology,1,1,Lecture Slides:Internet Resources(Videos Articles):Books-Recommended,Prefer not to Say,Yes,1,Fishing:Friend Circle in the University:Modelling:Programming:Sports,No,1,4
Mandarin,History,9,10+,Lecture Slides:Notes:Books-Recommended,No,Yes,1,Fishing:Modelling:Sports:Volunteering Work:Friend Circle in the University,Yes,4,1
Probability and Statistics,Chemistry,1,4,Internet Resources(Videos Articles),Prefer not to Say,No,6,Friend Circle in the University,Yes,3,1.5
Mandarin,History,8,9,Books-Recommended:Internet Resources(Videos Articles):Notes:Lecture Slides:Books-Out Of Course,Yes,Yes,4,Friend Circle in the University:Programming:Fishing,Yes,1,2.5
English,Mathematics,6,10+,Notes:Internet Resources(Videos Articles):Lecture Slides:Books-Recommended,Yes,No,0,Modelling:Friend Circle in the University:Volunteering Work:Fishing,Yes,4,1
Latin,Chemistry,9,8,Books-Out Of Course:Internet Resources(Videos Articles):Notes,Prefer not to Say,No,6,Friend Circle in the University,Yes,2,3
English,History,6,7,Books-Out Of Course:Lecture Slides,,Yes,5,Volunteering Work:Friend Circle in the University:Programming,No,2,2.5
Genetics,Computer Science,2,5,Books-Out Of Course:Internet Resources(Videos Articles):Notes,Prefer not to Say,No,3,Volunteering Work:Sports:Programming:Friend Circle in the University:Modelling:Fishing,No,2,4
Mandarin,History,3,0,Books-Recommended:Notes:Books-Out Of Course:Lecture Slides:Internet Resources(Videos Articles),,No,6,Volunteering Work:Programming:Modelling,Yes,1,3
Databases,History,5,1,Notes:Books-Recommended:Internet Resources(Videos Articles):Lecture Slides:Books-Out Of Course,No,Yes,3,Fishing:Volunteering Work:Programming:Sports:Friend Circle in the University,No,1,4
Organic Chemistry,Biology,0,3,Lecture Slides,,No,8,Volunteering Work:Sports,No,4,2.5
Linear Algebra,Chemistry,3,2,Internet Resources(Videos Articles):Lecture Slides:Books-Out Of Course:Notes,,Yes,4,Sports:Modelling:Programming:Volunteering Work:Fishing,No,3,3
Genetics,Biology,0,0,Books-Recommended:Lecture Slides:Books-Out Of Course:Notes:Internet Resources(Videos Articles),No,Yes,5,Programming,Yes,3,2
Genetics,Mathematics,2,8,Notes:Books-Recommended:Internet Resources(Videos Articles):Books-Out Of Course:Lecture Slides,,Yes,3,Programming:Fishing:Volunteering Work:Friend Circle in the University,No,1,2.5
Linear Algebra,Biology,1,5,Notes:Books-Recommended,Prefer not to Say,No,7,Friend Circle in the University:Sports:Modelling:Programming,Yes,2,3.5
Databases,History,8,7,Internet Resources(Videos Articles),Yes,Yes,9,Programming:Volunteering Work:Modelling,Yes,1,1.5
Genetics,History,2,10+,Books-Out Of Course,Yes,Yes,9,Volunteering Work:Sports:Fishing,Yes,2,2.5
Latin,History,1,3,Notes:Internet Resources(Videos Articles):Books-Out Of Course,No,Yes,0,Modelling,Yes,1,1.5
Biochemistry,Languages,7,2,Notes,Prefer not to Say,Yes,0,Programming,Yes,4,1
Functional Programming,Biology,3,2,Books-Out Of Course:Lecture Slides,Yes,Yes,0,Modelling:Sports:Programming:Volunteering Work,No,1,2
Genetics,Biology,1,4,Books-Out Of Course,Prefer not to Say,No,2,Sports:Friend Circle in the University:Modelling:Volunteering Work,No,2,1.5
Functional Programming,Chemistry,10,2,Books-Recommended,Yes,Yes,3,Fishing:Volunteering Work,Yes,2,2
Biochemistry,Languages,9,6,Lecture Slides:Books-Recommended:Internet Resources(Videos Articles):Books-Out Of Course,Prefer not to Say,Yes,2,Friend Circle in the University,No,1,2.5
Organic Chemistry,Chemistry,6,10+,Internet Resources(Videos Articles):Notes:Lecture Slides:Books-Recommended,No,Yes,0,Fishing:Volunteering Work,Yes,1,2.5
Latin,Computer Science,0,1,Lecture Slides:Books-Out Of Course:Internet Resources(Videos Articles):Books-Recommended,Yes,Yes,7,Fishing:Volunteering Work,No,2,1.5
Latin,Biology,3,2,Lecture Slides,Yes,No,6,Modelling:Volunteering Work:Sports:Programming:Fishing,Yes,2,1.5
Genetics,Computer Science,10,1,Books-Out Of Course:Lecture Slides:Internet Resources(Videos Articles):Books-Recommended:Notes,Yes,No,0,Programming:Volunteering Work:Friend Circle in the University,Yes,2,2.5
Probability and Statistics,Biology,7,9,Lecture Slides,Yes,No,4,Fishing:Sports:Friend Circle in the University:Programming:Volunteering Work,Yes,3,1.5
Probability and Statistics,Chemistry,4,7,Notes,No,Yes,9,Programming:Sports:Volunteering Work:Friend Circle in the University,No,1,3
Linear Algebra,Languages,8,2,Internet Resources(Videos Articles):Lecture Slides:Books-Recommended,Prefer not to Say,Yes,0,Volunteering Work:Fishing,No,4,4
Biochemistry,Computer Science,0,2,Internet Resources(Videos Articles):Notes:Lecture Slides,No,Yes,10+,Sports:Fishing:Programming:Modelling,Yes,3,1.5
Functional Programming,Computer Science,2,5,Books-Recommended:Notes:Lecture Slides:Internet Resources(Videos Articles),Prefer not to Say,Yes,9,Sports:Programming:Fishing:Friend Circle in the University,No,2,2
English,History,2,7,Notes,,No,10+,Volunteering Work:Modelling,No,3,1
Databases,Computer Science,2,9,Books-Recommended:Books-Out Of Course:Internet Resources(Videos Articles):Lecture Slides:Notes,Prefer not to Say,No,0,Volunteering Work,Yes,3,2.5
Databases,Mathematics,2,6,Books-Recommended,Prefer not to Say,Yes,4,Volunteering Work:Friend Circle in the University:Sports:Programming:Modelling,No,4,2.5
Genetics,Chemistry,7,9,Books-Out Of Course:Books-Recommended:Notes,No,Yes,9,Volunteering Work:Fishing:Programming:Modelling:Friend Circle in the University:Sports,Yes,2,1.5
Biochemistry,Biology,8,9,Notes:Books-Out Of Course:Lecture Slides,Prefer not to Say,No,4,Sports:Volunteering Work,Yes,2,2.5
Latin,Computer Science,4,6,Books-Recommended:Books-Out Of Course,No,Yes,2,Modelling:Fishing:Friend Circle in the University:Volunteering Work,No,1,2
Mandarin,Languages,3,5,Notes,No,Yes,3,Fishing:Sports:Volunteering Work:Modelling,Yes,4,2.5
Genetics,Mathematics,10,9,Notes:Internet Resources(Videos Articles):Lecture Slides,Yes,No,9,Programming:Modelling:Friend Circle in the University:Fishing:Volunteering Work,Yes,4,3.5
Mandarin,Computer Science,2,6,Books-Out Of Course,Prefer not to Say,No,8,Modelling:Friend Circle in the University:Programming:Volunteering Work,No,4,4
Biochemistry,Computer Science,7,10+,Notes:Lecture Slides:Books-Out Of Course:Books-Recommended:Internet Resources(Videos Articles),Yes,Yes,10+,Sports,Yes,1,2.5
Linear Algebra,Mathematics,10,0,Lecture Slides,,Yes,1,Sports:Volunteering Work:Modelling:Programming,No,4,2.5
Genetics,History,0,3,Internet Resources(Videos Articles):Books-Recommended:Notes:Lecture Slides:Books-Out Of Course,Yes,No,1,Friend Circle in the University:Programming:Modelling:Volunteering Work,Yes,2,1.5
Latin,Biology,8,4,Books-Recommended:Internet Resources(Videos Articles):Lecture Slides,No,No,4,Fishing:Volunteering Work:Modelling:Friend Circle in the University:Programming,No,1,1.5
Probability and Statistics,Chemistry,1,4,Books-Recommended:Lecture Slides:Notes:Books-Out Of Course:Internet Resources(Videos Articles),Yes,Yes,5,Fishing:Friend Circle in the University:Sports:Programming:Modelling:Volunteering Work,No,3,2.5
Biochemistry,Languages,7,4,Books-Out Of Course:Books-Recommended:Lecture Slides:Internet Resources(Videos Articles):Notes,No,Yes,5,Fishing:Friend Circle in the University:Volunteering Work:Programming,No,4,4
Functional Programming,Biology,5,5,Books-Recommended:Books-Out Of Course:Notes:Internet Resources(Videos Articles):Lecture Slides,No,No,1,Fishing:Friend Circle in the University:Modelling:Volunteering Work:Sports,Yes,4,1.5
Biochemistry,Chemistry,10,6,Notes:Internet Resources(Videos Articles):Books-Recommended,Prefer not to Say,No,9,Sports:Friend Circle in the University:Programming:Fishing,Yes,4,4
Probability and Statistics,Mathematics,10,2,Books-Recommended:Notes:Books-Out Of Course:Internet Resources(Videos Articles),,Yes,7,Friend Circle in the University:Modelling:Fishing:Programming:Volunteering Work:Sports,Yes,2,3
Probability and Statistics,Mathematics,8,5,Books-Recommended:Books-Out Of Course:Internet Resources(Videos Articles):Notes:Lecture Slides,Yes,Yes,1,Volunteering Work:Sports:Fishing:Modelling:Programming,Yes,3,2.5
Functional Programming,Mathematics,0,5,Lecture Slides,Yes,Yes,5,Modelling:Fishing,Yes,1,3.5
Probability and Statistics,History,7,0,Notes,Prefer not to Say,No,8,Programming:Modelling:Sports:Volunteering Work,No,3,1
Biochemistry,Languages,6,6,Books-Out Of Course:Books-Recommended,No,No,4,Programming:Fishing:Volunteering Work:Modelling,No,4,2.5
Latin,History,9,9,Books-Recommended:Lecture Slides:Books-Out Of Course,No,Yes,2,Fishing:Friend Circle in the University,No,3,3
Organic Chemistry,Mathematics,0,6,Notes:Books-Recommended,Prefer not to Say,Yes,1,Sports:Fishing:Friend Circle in the University:Programming:Volunteering Work,No,2,1
Databases,History,3,9,Notes:Books-Recommended:Internet Resources(Videos Articles):Books-Out Of Course,Yes,Yes,3,Friend Circle in the University:Modelling:Programming:Sports:Volunteering Work,Yes,2,2.5
Organic Chemistry,Mathematics,10,6,Notes,,Yes,1,Programming:Modelling:Volunteering Work,Yes,3,2
Linear Algebra,History,9,2,Internet Resources(Videos Articles),,No,5,Programming:Sports,Yes,4,1.5
Genetics,Biology,3,10+,Internet Resources(Videos Articles):Books-Recommended:Books-Out Of Course:Lecture Slides:Notes,No,No,9,Sports:Friend Circle in the University:Programming:Modelling:Fishing,Yes,1,1.5
English,Mathematics,5,8,Books-Out Of Course,No,Yes,0,Volunteering Work:Sports:Friend Circle in the University:Modelling:Programming,Yes,3,2.5
Probability and Statistics,Chemistry,6,4,Notes,No,Yes,10+,Modelling,No,2,1.5
Linear Algebra,History,7,0,Lecture Slides:Internet Resources(Videos Articles),No,No,10+,Modelling:Fishing:Friend Circle in the University:Volunteering Work:Programming:Sports,Yes,4,4
Databases,Biology,5,4,Internet Resources(Videos Articles):Notes:Books-Recommended,Yes,No,1,Programming:Sports:Modelling,No,1,3.5
Functional Programming,Languages,0,0,Internet Resources(Videos Articles):Books-Recommended:Books-Out Of Course:Lecture Slides,,No,5,Volunteering Work,No,1,3.5
Probability and Statistics,Chemistry,5,10+,Notes:Internet Resources(Videos Articles):Books-Out Of Course,,No,1,Fishing:Modelling:Sports:Programming,Yes,3,2
Genetics,Mathematics,5,5,Internet Resources(Videos Articles):Books-Out Of Course:Lecture Slides:Books-Recommended,,Yes,10+,Sports:Programming:Volunteering Work:Friend Circle in the University:Modelling:Fishing,No,3,4
Latin,History,2,2,Books-Recommended:Internet Resources(Videos Articles):Lecture Slides:Books-Out Of Course,Yes,Yes,9,Volunteering Work:Sports,Yes,3,2.5
Biochemistry,Computer Science,6,4,Books-Out Of Course:Notes:Lecture Slides:Internet Resources(Videos Articles),Yes,Yes,6,Fishing:Programming:Friend Circle in the University:Sports:Modelling:Volunteering Work,No,1,1.5
Latin,History,7,8,Lecture Slides:Notes:Internet Resources(Videos Articles),No,Yes,8,Volunteering Work:Sports:Programming:Friend Circle in the University:Fishing:Modelling,Yes,4,3.5
Latin,Chemistry,1,1,Internet Resources(Videos Articles):Books-Recommended,Prefer not to Say,Yes,4,Fishing:Modelling:Sports,No,4,1.5
Latin,Languages,8,3,Books-Out Of Course:Notes:Internet Resources(Videos Articles):Lecture Slides:Books-Recommended,No,Yes,0,Fishing:Friend Circle in the University:Volunteering Work,Yes,2,2.5
Latin,Languages,1,1,Notes:Internet Resources(Videos Articles):Books-Recommended,Yes,No,9,Friend Circle in the University:Volunteering Work:Sports:Fishing:Programming,Yes,1,1.5
Databases,Computer Science,4,5,Books-Out Of Course:Internet Resources(Videos Articles),Yes,Yes,9,Programming:Volunteering Work:Fishing,No,3,1.5
Organic Chemistry,Chemistry,0,0,Notes:Books-Recommended:Lecture Slides,Prefer not to Say,No,3,Fishing:Volunteering Work:Modelling,Yes,3,1.5
Probability and Statistics,History,2,0,Books-Out Of Course:Internet Resources(Videos Articles):Books-Recommended,Yes,No,0,Volunteering Work:Fishing:Programming:Modelling,No,4,2.5
English,History,8,6,Internet Resources(Videos Articles):Books-Recommended,,No,7,Programming:Fishing:Friend Circle in the University:Sports:Volunteering Work:Modelling,Yes,3,2
Organic Chemistry,Chemistry,4,1,Notes:Books-Recommended:Books-Out Of Course:Internet Resources(Videos Articles):Lecture Slides,,No,2,Fishing:Programming:Sports:Modelling:Volunteering Work:Friend Circle in the University,Yes,1,1.5
Latin,Biology,0,4,Books-Recommended,Yes,No,4,Sports:Volunteering Work:Friend Circle in the University:Fishing:Programming:Modelling,No,4,1
Genetics,Chemistry,4,9,Internet Resources(Videos Articles):Books-Recommended:Notes,,Yes,2,Sports:Fishing:Friend Circle in the University,Yes,3,2.5
Functional Programming,History,7,2,Books-Out Of Course:Lecture Slides:Internet Resources(Videos Articles):Books-Recommended:Notes,,Yes,4,Modelling:Friend Circle in the University:Programming:Fishing,No,3,2
Latin,Computer Science,1,9,Internet Resources(Videos Articles),,Yes,1,Fishing:Friend Circle in the University:Programming,No,3,3.5
Organic Chemistry,Languages,10,10+,Books-Recommended,Prefer not to Say,No,3,Programming:Modelling:Sports:Friend Circle in the University,No,3,3
Mandarin,Chemistry,3,1,Books-Out Of Course:Notes:Internet Resources(Videos Articles),Prefer not to Say,Yes,8,Modelling:Sports:Volunteering Work:Friend Circle in the University:Fishing:Programming,Yes,4,2.5
English,Biology,1,3,Books-Out Of Course:Internet Resources(Videos Articles):Lecture Slides,No,Yes,3,Modelling,Yes,4,2
Functional Programming,Mathematics,5,9,Internet Resources(Videos Articles):Notes:Books-Recommended:Lecture Slides,No,No,3,Sports:Volunteering Work:Friend Circle in the University:Modelling,Yes,2,1.5
Databases,Computer Science,6,10+,Notes:Lecture Slides:Internet Resources(Videos Articles):Books-Out Of Course,No,Yes,0,Friend Circle in the University,Yes,2,1
Probability and Statistics,Mathematics,1,1,Lecture Slides:Internet Resources(Videos Articles):Books-Out Of Course,Prefer not to Say,Yes,3,Sports:Programming:Volunteering Work:Fishing,Yes,4,2.5
Databases,Mathematics,1,6,Lecture Slides:Internet Resources(Videos Articles):Books-Out Of Course:Notes,No,Yes,9,Modelling:Volunteering Work:Programming:Sports:Friend Circle in the University,Yes,1,2
English,History,6,7,Notes:Internet Resources(Videos Articles),No,No,2,Modelling:Friend Circle in the University,No,2,2.5
Mandarin,History,5,10+,Notes:Internet Resources(Videos Articles):Books-Recommended:Books-Out Of Course:Lecture Slides,,No,9,Volunteering Work,No,3,3.5
Probability and Statistics,Chemistry,6,0,Notes:Lecture Slides:Books-Out Of Course:Books-Recommended:Internet Resources(Videos Articles),,No,9,Fishing:Sports:Volunteering Work:Modelling:Friend Circle in the University,No,4,3
Databases,Chemistry,8,8,Notes:Books-Out Of Course:Lecture Slides:Internet Resources(Videos Articles),Yes,Yes,2,Modelling:Programming,Yes,1,2
Linear Algebra,Mathematics,5,5,Lecture Slides:Books-Out Of Course:Notes:Books-Recommended,Yes,No,9,Friend Circle in the University:Sports:Volunteering Work:Programming:Modelling:Fishing,No,4,3.5
Functional Programming,Computer Science,9,9,Lecture Slides:Books-Recommended:Internet Resources(Videos Articles):Notes,No,No,7,Programming:Friend Circle in the University:Sports:Volunteering Work,No,1,4
Latin,Chemistry,1,10+,Notes:Internet Resources(Videos Articles):Books-Recommended:Books-Out Of Course:Lecture Slides,,Yes,6,Volunteering Work:Friend Circle in the University:Modelling,No,1,3.5
Probability and Statistics,Languages,6,6,Books-Recommended:Books-Out Of Course:Notes,,No,6,Volunteering Work:Friend Circle in the University:Sports:Modelling:Fishing:Programming,No,1,1.5
Latin,History,4,2,Books-Recommended:Lecture Slides:Books-Out Of Course:Internet Resources(Videos Articles):Notes,,No,10+,Friend Circle in the University:Volunteering Work:Modelling:Programming:Fishing,No,4,3
Organic Chemistry,Computer Science,6,1,Internet Resources(Videos Articles):Books-Recommended:Books-Out Of Course,,Yes,2,Volunteering Work,No,3,3
Biochemistry,Computer Science,9,0,Books-Out Of Course,Prefer not to Say,Yes,2,Modelling:Friend Circle in the University,No,4,3.5
Probability and Statistics,Computer Science,8,2,Lecture Slides:Books-Out Of Course:Books-Recommended:Notes,,No,6,Programming:Sports:Modelling:Friend Circle in the University:Fishing:Volunteering Work,No,1,4
English,Biology,4,3,Lecture Slides:Notes:Books-Out Of Course:Internet Resources(Videos Articles),No,Yes,5,Programming,No,2,4
Probability and Statistics,Biology,2,5,Books-Out Of Course,,No,9,Sports:Modelling:Friend Circle in the University:Volunteering Work,Yes,2,4
Databases,Biology,0,7,Books-Recommended,No,No,0,Sports:Volunteering Work:Friend Circle in the University,No,3,2.5
Biochemistry,Chemistry,8,5,Books-Out Of Course:Notes:Internet Resources(Videos Articles),,No,9,Sports:Volunteering Work:Modelling,Yes,4,1.5
Probability and Statistics,Biology,8,6,Books-Recommended,No,Yes,4,Friend Circle in the University:Volunteering Work:Sports:Modelling:Fishing,No,4,2.5
Functional Programming,Languages,0,9,Internet Resources(Videos Articles):Lecture Slides:Notes:Books-Recommended,,Yes,4,Fishing:Volunteering Work:Modelling:Programming:Friend Circle in the University:Sports,No,3,3.5
Mandarin,Computer Science,10,4,Notes:Lecture Slides:Internet Resources(Videos Articles),Prefer not to Say,No,0,Volunteering Work:Friend Circle in the University:Modelling,No,2,2.5
Databases,Mathematics,10,5,Books-Recommended:Notes,No,Yes,8,Modelling:Volunteering Work:Fishing:Sports,Yes,2,2.5
Linear Algebra,Chemistry,9,7,Lecture Slides:Internet Resources(Videos Articles):Books-Out Of Course:Notes:Books-Recommended,Prefer not to Say,No,1,Programming:Sports:Modelling:Friend Circle in the University,Yes,4,1.5
Biochemistry,Chemistry,2,3,Books-Recommended:Internet Resources(Videos Articles):Notes,,No,8,Modelling:Volunteering Work:Programming:Friend Circle in the University,No,1,2
Mandarin,Languages,8,5,Notes:Books-Out Of Course:Books-Recommended:Internet Resources(Videos Articles),,No,7,Sports:Modelling:Volunteering Work,No,1,2
Biochemistry,Mathematics,4,2,Lecture Slides:Books-Recommended:Notes,Prefer not to Say,Yes,3,Sports:Programming:Volunteering Work:Fishing:Friend Circle in the University:Modelling,No,3,2.5
English,Biology,6,8,Books-Out Of Course:Books-Recommended:Notes:Internet Resources(Videos Articles):Lecture Slides,Prefer not to Say,No,0,Volunteering Work:Programming:Fishing:Modelling:Sports,Yes,2,1.5
Databases,Chemistry,7,9,Lecture Slides:Books-Out Of Course:Internet Resources(Videos Articles):Notes,Prefer not to Say,Yes,6,Volunteering Work,Yes,2,3
Probability and Statistics,Languages,2,4,Notes:Books-Out Of Course:Internet Resources(Videos Articles),Yes,No,10+,Modelling,Yes,1,2
Genetics,Chemistry,2,4,Lecture Slides:Notes,Prefer not to Say,No,3,Sports:Modelling:Programming,Yes,1,1.5
Probability and Statistics,Languages,5,1,Internet Resources(Videos Articles):Lecture Slides:Books-Recommended,Yes,Yes,4,Programming:Friend Circle in the University:Volunteering Work:Modelling:Sports:Fishing,No,1,4
Organic Chemistry,Languages,2,0,Internet Resources(Videos Articles):Lecture Slides:Books-Out Of Course,Yes,Yes,4,Modelling:Sports:Programming,Yes,1,2
Linear Algebra,Languages,8,8,Lecture Slides:Notes:Internet Resources(Videos Articles):Books-Out Of Course:Books-Recommended,Prefer not to Say,Yes,3,Programming,Yes,1,2
Functional Programming,Biology,9,1,Lecture Slides:Books-Out Of Course:Notes:Books-Recommended,Prefer not to Say,No,5,Friend Circle in the University:Modelling:Volunteering Work:Sports:Programming:Fishing,Yes,2,1.5
Genetics,Mathematics,2,4,Internet Resources(Videos Articles):Books-Out Of Course:Notes:Lecture Slides,Yes,Yes,9,Programming:Fishing,Yes,1,2
English,Chemistry,6,5,Lecture Slides,Yes,Yes,6,Friend Circle in the University:Programming:Fishing:Modelling:Sports:Volunteering Work,No,1,3.5
Databases,Languages,9,9,Internet Resources(Videos Articles):Books-Recommended:Books-Out Of Course:Lecture Slides,Prefer not to Say,No,2,Fishing:Programming,Yes,3,1.5
Biochemistry,Biology,5,5,Lecture Slides:Internet Resources(Videos Articles),Yes,Yes,0,Modelling:Volunteering Work:Sports:Friend Circle in the University:Fishing,No,1,2
English,Chemistry,2,9,Notes:Lecture Slides,,Yes,2,Modelling:Volunteering Work:Fishing,Yes,3,2
Mandarin,Mathematics,9,4,Lecture Slides:Books-Recommended:Books-Out Of Course:Internet Resources(Videos Articles),Prefer not to Say,Yes,8,Programming:Friend Circle in the University,Yes,4,1.5
Functional Programming,Mathematics,10,0,Books-Recommended:Internet Resources(Videos Articles),No,No,7,Modelling:Programming,Yes,3,1.5
Organic Chemistry,Mathematics,8,6,Internet Resources(Videos Articles):Notes:Books-Out Of Course:Lecture Slides:Books-Recommended,Yes,Yes,9,Fishing:Modelling:Sports:Friend Circle in the University:Programming:Volunteering Work,Yes,1,1
Probability and Statistics,Chemistry,10,4,Lecture Slides:Books-Out Of Course:Notes:Internet Resources(Videos Articles):Books-Recommended,Prefer not to Say,Yes,10+,Volunteering Work:Programming:Friend Circle in the University:Modelling:Sports,Yes,3,4
Latin,Mathematics,6,5,Notes:Books-Out Of Course:Lecture Slides:Books-Recommended,Prefer not to Say,Yes,9,Sports:Volunteering Work,No,1,1.5
Latin,Computer Science,6,2,Books-Recommended,,Yes,4,Modelling,Yes,3,1
Functional Programming,Languages,10,3,Lecture Slides,,No,1,Fishing:Modelling:Friend Circle in the University:Sports:Volunteering Work,No,3,3
Databases,History,6,6,Books-Recommended,Prefer not to Say,Yes,6,Sports,Yes,4,1
Linear Algebra,Mathematics,0,3,Internet Resources(Videos Articles):Books-Recommended:Notes:Lecture Slides:Books-Out Of Course,Prefer not to Say,No,8,Fishing:Programming,No,3,4
Organic Chemistry,History,1,0,Lecture Slides:Books-Recommended:Internet Resources(Videos Articles),No,Yes,2,Programming:Fishing,Yes,4,1
Probability and Statistics,Chemistry,2,7,Books-Recommended,,No,10+,Sports,No,2,3.5
Probability and Statistics,Biology,6,1,Lecture Slides,No,Yes,6,Fishing:Modelling:Sports:Friend Circle in the University:Volunteering Work:Programming,Yes,2,4
Mandarin,Chemistry,6,4,Books-Out Of Course:Notes:Books-Recommended:Lecture Slides:Internet Resources(Videos Articles),Yes,No,1,Fishing:Programming,Yes,1,1.5
Probability and Statistics,Languages,4,5,Books-Out Of Course:Notes:Books-Recommended:Internet Resources(Videos Articles):Lecture Slides,,Yes,8,Modelling:Volunteering Work:Fishing:Programming,No,1,3
Organic Chemistry,Chemistry,2,4,Internet Resources(Videos Articles):Lecture Slides:Notes:Books-Recommended:Books-Out Of Course,Yes,No,9,Sports:Programming:Friend Circle in the University,No,1,1
Mandarin,Mathematics,0,5,Books-Recommended:Lecture Slides:Books-Out Of Course:Notes,Prefer not to Say,No,7,Modelling:Volunteering Work:Fishing,No,4,1
English,Biology,1,6,Books-Recommended:Books-Out Of Course:Notes,,No,5,Sports,No,2,3.5
